# domain,dns_server
126.com,223.5.5.5
126.net,223.5.5.5
163.com,223.5.5.5
163yun.com,223.5.5.5
360buyimg.com,223.5.5.5
95516.com,223.5.5.5
aaplimg.com,223.5.5.5
alibaba.com,223.5.5.5
alibabausercontent.com,223.5.5.5
alicdn.com,223.5.5.5
alimama.com,223.5.5.5
alipay.com,223.5.5.5
aliyun.com,223.5.5.5
amap.com,223.5.5.5
amemv.com,223.5.5.5
apple-dns.net,223.5.5.5
apple.com,223.5.5.5
autonav.com,223.5.5.5
baidu.com,223.5.5.5
baidubce.com,223.5.5.5
bdimg.com,223.5.5.5
bdstatic.com,223.5.5.5
biliapi.com,223.5.5.5
biliapi.net,223.5.5.5
bilibili.com,223.5.5.5
bilivideo.com,223.5.5.5
bytedance.com,223.5.5.5
byteimg.com,223.5.5.5
cainiao.com,223.5.5.5
cdn-apple.com,223.5.5.5
ctrip.com,223.5.5.5
dianping.com,223.5.5.5
didi.cn,223.5.5.5
douyin.com,223.5.5.5
douyinpic.com,223.5.5.5
douyinvod.com,223.5.5.5
ele.me,223.5.5.5
gaode.com,223.5.5.5
gifshow.com,223.5.5.5
gtimg.com,223.5.5.5
hdslb.com,223.5.5.5
huawei.com,223.5.5.5
hunantv.com,223.5.5.5
icloud-content.com,223.5.5.5
icloud.com,223.5.5.5
iqiyi.com,223.5.5.5
iqiyipic.com,223.5.5.5
itc.cn,223.5.5.5
ixigua.com,223.5.5.5
jd.com,223.5.5.5
jdcdn.com,223.5.5.5
jdpay.com,223.5.5.5
koubei.com,223.5.5.5
ksapisrv.com,223.5.5.5
kuaishou.com,223.5.5.5
kwaicdn.com,223.5.5.5
kwimgs.com,223.5.5.5
meituan.com,223.5.5.5
meituan.net,223.5.5.5
meituanimg.com,223.5.5.5
mgtv.com,223.5.5.5
mi.com,223.5.5.5
miui.com,223.5.5.5
mmstat.com,223.5.5.5
myqcloud.com,119.29.29.29
mzstatic.com,223.5.5.5
netease.com,223.5.5.5
oppo.com,223.5.5.5
pddpic.com,223.5.5.5
pinduoduo.com,223.5.5.5
